ID,ECCE_gram,ECCE_vocab,Cloze,Ln,LnStatus,Age,Gender,Day,Group,NounTest_session,TestType,Test,TestTrial,TestLang,SentTest_mean,Construction,CorrectAns,DefMeaning,L1_Eng,Eng_rating,Eng_hours,L_GrowUp
T021,15,18,8,Laos,1,19,Female,2.2,THAI,1,Construction,ConsT2_2_EN_OSV,5,EN,OSV,fursar_dola_katon-et,TRUE,0,No,4.25,NA,"TH_C, TH_NE, TH_S, Eng"
T021,15,18,8,Laos,1,19,Female,2.2,THAI,1,Pattern,Sent_t2_2_EN_conti,6,EN,Continuative,jark_dass_lin-et,TRUE,0,No,4.25,NA,"TH_C, TH_NE, TH_S, Eng"
T021,15,18,8,Laos,1,19,Female,2.2,THAI,1,Construction,ConsT2_2_TH_OSV,6,TH,OSV,harter_dola_lin_bef_dit,TRUE,0,No,4.25,NA,"TH_C, TH_NE, TH_S, Eng"
T021,15,18,8,Laos,1,19,Female,2.2,THAI,1,Pattern,Sent_t2_2_TH_conti,7,TH,Continuative,jark_dass_lin_bef_dit,TRUE,0,No,4.25,NA,"TH_C, TH_NE, TH_S, Eng"
T021,15,18,8,Laos,1,19,Female,2.2,THAI,1,Construction,ConsT2_2_EN_SVO,7,EN,SVO,fursar_dass_lin-an,TRUE,0,No,4.25,NA,"TH_C, TH_NE, TH_S, Eng"
T021,15,18,8,Laos,1,19,Female,2.2,THAI,1,Pattern,Sent_t2_2_EN_comple,8,EN,Completive,fursar_dass_katon-an,FALSE,0,No,4.25,NA,"TH_C, TH_NE, TH_S, Eng"
T021,15,18,8,Laos,1,19,Female,2.2,THAI,1,Construction,ConsT2_2_TH_SVO,8,TH,SVO,harter_dass_katon_lon_beng,TRUE,0,No,4.25,NA,"TH_C, TH_NE, TH_S, Eng"
T022,20,23,6,NA,0,18,Female,1.1,THAI,3,Pattern,Sent_t1_1_EN_conti,1,EN,Continuative,fursar_dass_katon-et,TRUE,0,No,3,NA,"TH_C, TH_N, Eng"
T022,20,23,6,NA,0,18,Female,1.1,THAI,3,Construction,ConsT1_1_TH_SVO,1,TH,SVO,harter_dola_katon_lon_beng,TRUE,0,No,3,NA,"TH_C, TH_N, Eng"
T022,20,23,6,NA,0,18,Female,1.1,THAI,3,Pattern,Sent_t1_1_EN_comple,2,EN,Completive,toak_dola_katon-an,FALSE,0,No,3,NA,"TH_C, TH_N, Eng"
T022,20,23,6,NA,0,18,Female,1.1,THAI,3,Construction,ConsT1_1_TH_OSV,2,TH,OSV,harter_dass_lin_bef_dit,TRUE,0,No,3,NA,"TH_C, TH_N, Eng"
T022,20,23,6,NA,0,18,Female,1.1,THAI,3,Pattern,Sent_t1_1_TH_conti,3,TH,Continuative,jark_dola_lin_bef_dit,TRUE,0,No,3,NA,"TH_C, TH_N, Eng"
T022,20,23,6,NA,0,18,Female,1.1,THAI,3,Construction,ConsT1_1_EN_SVO,3,EN,SVO,toak_dola_lin-an,TRUE,0,No,3,NA,"TH_C, TH_N, Eng"
T022,20,23,6,NA,0,18,Female,1.1,THAI,3,Pattern,Sent_t1_1_TH_comple,4,TH,Completive,harter_dass_lin_lon_beng,TRUE,0,No,3,NA,"TH_C, TH_N, Eng"
T022,20,23,6,NA,0,18,Female,1.1,THAI,3,Construction,ConsT1_1_EN_OSV,4,EN,OSV,toak_dass_katon-et,TRUE,0,No,3,NA,"TH_C, TH_N, Eng"
T022,20,23,6,NA,0,18,Female,1.1,THAI,3,Pattern,Sent_t1_1_EN_conti,5,EN,Continuative,jark_dola_lin-et,TRUE,0,No,3,NA,"TH_C, TH_N, Eng"
T022,20,23,6,NA,0,18,Female,1.1,THAI,3,Construction,ConsT1_1_TH_OSV,5,TH,OSV,toak_dola_lin_lon_beng,TRUE,0,No,3,NA,"TH_C, TH_N, Eng"
T022,20,23,6,NA,0,18,Female,1.1,THAI,3,Pattern,Sent_t1_1_TH_conti,6,TH,Continuative,fursar_dass_katon_bef_dit,TRUE,0,No,3,NA,"TH_C, TH_N, Eng"
T022,20,23,6,NA,0,18,Female,1.1,THAI,3,Construction,ConsT1_1_EN_OSV,6,EN,OSV,harter_dola_katon-an,TRUE,0,No,3,NA,"TH_C, TH_N, Eng"
T022,20,23,6,NA,0,18,Female,1.1,THAI,3,Pattern,Sent_t1_1_TH_comple,7,TH,Completive,toak_dola_katon_lon_beng,TRUE,0,No,3,NA,"TH_C, TH_N, Eng"
T022,20,23,6,NA,0,18,Female,1.1,THAI,3,Construction,ConsT1_1_EN_SVO,7,EN,SVO,harter_dass_lin-et,TRUE,0,No,3,NA,"TH_C, TH_N, Eng"
T022,20,23,6,NA,0,18,Female,1.1,THAI,3,Pattern,Sent_t1_1_EN_comple,8,EN,Completive,harter_dass_lin-an,TRUE,0,No,3,NA,"TH_C, TH_N, Eng"
T022,20,23,6,NA,0,18,Female,1.1,THAI,3,Construction,ConsT1_1_TH_SVO,8,TH,SVO,toak_dass_katon_bef_dit,TRUE,0,No,3,NA,"TH_C, TH_N, Eng"
T022,20,23,6,NA,0,18,Female,1.2,THAI,3,Pattern,Sent_t1_2_EN_conti,1,EN,Continuative,harter_dola_katon-et,TRUE,0,No,3,NA,"TH_C, TH_N, Eng"
T022,20,23,6,NA,0,18,Female,1.2,THAI,3,Construction,ConsT1_2_TH_SVO,1,TH,SVO,fursar_dass_lin_bef_dit,FALSE,0,No,3,NA,"TH_C, TH_N, Eng"
T022,20,23,6,NA,0,18,Female,1.2,THAI,3,Pattern,Sent_t1_2_EN_comple,2,EN,Completive,jark_dass_katon-an,FALSE,0,No,3,NA,"TH_C, TH_N, Eng"
T022,20,23,6,NA,0,18,Female,1.2,THAI,3,Construction,ConsT1_2_TH_OSV,2,TH,OSV,fursar_dola_katon_lon_beng,TRUE,0,No,3,NA,"TH_C, TH_N, Eng"
